Winter 2022
PCOM,64
BCOM,11
BA11,16
BA12,15
PM11,11
PM12,13
GL11,12
FS11,8
TOTAL,75
FALL 2022
PCOM,133
BCOM,39
BA11,21
BA12,20
BA13,22
PM11,24
PM12,24
PM13,25
GL11,18
FS,13
DXD,5
TOTAL,172
TOTAL,172
WINTER 2023
PCOM,210
BCMO,25
BA11,27
BA12,24
BA13,23
PM11,38
PM12,37
PM13,27
GL11,21
GL12,20
FS,18
TOTAL,235
